"GHO","GBDCHILDCAUSES","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","MGHEREG","Display Value","Numeric","Low","High","Comments"
"MORT_100","CH6","PUBLISHED","2004","SEAR","BTN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2010","SEAR","TLS","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","EMR","JOR","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2009","EUR","ITA","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2012","WPR","PHL","YEARS0-4","BTSX","","0.1","0.10968","","",""
"MORT_200","CH6","PUBLISHED","2012","EUR","SMR","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2007","EUR","SVK","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2001","","","YEARS0-4","BTSX","WBDCP_LAC","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2004","AFR","BEN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","EUR","AZE","YEARS0-4","BTSX","","35","34.61409","","",""
"MORT_200","CH6","PUBLISHED","2010","","","MONTHS1-59","BTSX","REG6_EUR","0","0.00257","","",""
"MORT_100","CH6","PUBLISHED","2011","WPR","BRN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2000","AMR","PRY","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2007","AFR","CAF","YEARS0-4","BTSX","","0.5","0.49454","","",""
"MORT_300","CH6","PUBLISHED","2010","WPR","BRN","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","AFR","CPV","MONTHS1-59","BTSX","","2","1.70325","","",""
"MORT_100","CH6","PUBLISHED","2008","SEAR","IDN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2010","AFR","MDG","MONTHS1-59","BTSX","","0.6","0.60131","","",""
"MORT_300","CH6","PUBLISHED","2001","","","MONTHS1-59","BTSX","UNICEF_ROSA","7.5","7.46695","","",""
"MORT_100","CH6","PUBLISHED","2000","","","YEARS0-4","BTSX","WBDCP_SSA","347491","347490.60000","","",""
"MORT_200","CH6","PUBLISHED","2012","EUR","AZE","MONTHS1-59","BTSX","","0","0.00145","","",""
"MORT_100","CH6","PUBLISHED","2000","AMR","LCA","DAYS0-27","BTSX","","0","0.00000","","",""
"GBD_0000000036","CH6","VOID_APPROVED","2003","WHO_LMI_SEAR","","MONTHS1-59","BTSX","","116665","116664.90000","","",""
"MORT_100","CH6","PUBLISHED","2013","AFR","GNB","MONTHS1-59","BTSX","","29","28.68605","","",""
"MORT_300","CH6","PUBLISHED","2010","EUR","BEL","YEARS0-4","BTSX","","0","0.00000","","",""
