iso_code,country,vaxspending1998,vaxspending1999,vaxspending2000,vaxspending2001,vaxspending2002,vaxspending2003,vaxspending2004,vaxspending2005,vaxspending2006,vaxspending2007,vaxspending2008,vaxspending2009,vaxspending2010,vaxspending2011,vaxspending2012,vaxspending2013,vaxspending2014
IRN,Iran,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
IRQ,Iraq,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,93%
IRL,Ireland,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%
ISR,Israel,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%
ITA,Italy,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
JAM,Jamaica,100%,100%,95%,100%,100%,98%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
JPN,Japan,100%,100%,100%,100%,100%,,,,,,,,,,,,
JOR,Jordan,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
KAZ,Kazakhstan,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
KEN,Kenya,3%,3%,36%,3%,10%,41%,5%,80%,80%,90%,100%,74%,48%,57%,,15%,15%
KIR,Kiribati,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,67%,,100%,10%
KWT,Kuwait,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,100%
KGZ,Kyrgyzstan,25%,20%,30%,11%,15%,22%,22%,30%,40%,50%,60%,64%,,53%,37%,9%,14%
LAO,Lao People's Democratic Republic (the),0%,0%,0%,0%,5%,6%,0%,0%,0%,13%,9%,7%,5%,6%,10%,8%,12%
LVA,Latvia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,
LBN,Lebanon,50%,50%,50%,50%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LSO,Lesotho,25%,40%,25%,39%,15%,30%,25%,9%,1%,1%,1%,1%,,42%,,54%,10%
LBR,Liberia,0%,0%,0%,0%,5%,0%,0%,0%,0%,1%,4%,5%,6%,9%,8%,5%,5%
LBY,Libya,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,
LTU,Lithuania,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LUX,Luxembourg,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%
MKD,The former Yugoslav Republic of Macedonia,90%,90%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
MDG,Madagascar,0%,30%,40%,16%,18%,18%,0%,29%,18%,26%,10%,9%,5%,21%,4%,6%,2%
MWI,Malawi,2%,2%,15%,15%,13%,13%,0%,20%,,33%,66%,35%,36%,36%,25%,7%,7%
MYS,Malaysia,100%,100%,100%,100%,100%,100%,100%,85%,100%,100%,80%,80%,80%,80%,,,
MDV,Maldives,100%,100%,100%,90%,90%,100%,100%,100%,75%,100%,100%,100%,100%,100%,100%,100%,100%
MLI,Mali,100%,40%,40%,100%,60%,100%,100%,71%,77%,100%,20%,100%,20%,17%,12%,14%,24%
MLT,Malta,100%,60%,100%,100%,100%,100%,100%,100%,70%,80%,100%,100%,100%,100%,100%,100%,100%
MHL,Marshall Islands,0%,0%,100%,100%,100%,100%,100%,100%,100%,3%,,1%,1%,2%,2%,100%,2%
MRT,Mauritania,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,11%,21%,15%,16%,11%
MUS,Mauritius,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
MEX,Mexico,100%,100%,100%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,,100%
FSM,Micronesia,5%,10%,5%,5%,5%,10%,0%,0%,100%,5%,,,0%,,,,
MCO,Monaco,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
MNG,Mongolia,20%,20%,20%,50%,50%,52%,33%,26%,19%,19%,61%,64%,80%,69%,75%,84%,88%
MNE,Montenegro,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%
MAR,Morocco,100%,100%,100%,100%,98%,98%,100%,100%,100%,100%,100%,100%,92%,100%,100%,100%,100%
MOZ,Mozambique,0%,20%,10%,10%,20%,30%,47%,47%,100%,100%,100%,100%,27%,20%,30%,20%,
MMR,Myanmar,84%,0%,0%,0%,0%,0%,0%,0%,,,,,,,56%,45%,45%
NAM,Namibia,100%,100%,100%,100%,60%,60%,100%,100%,100%,100%,100%,100%,100%,100%,45%,100%,50%
