YEAR,COUNTRY,AGEGROUP,SEX,Display Value
1990,NIC,AGE85-89,MLE,0.139174
1990,MUS,AGE10-14,FMLE,0.000259
2012,RWA,AGE90-94,FMLE,0.272646
2000,SYC,AGE55-59,FMLE,0.006086
2012,ZWE,AGE60-64,MLE,0.021413
2013,MEX,AGE70-74,FMLE,0.027031
2013,SEN,AGE100PLUS,FMLE,0.613394
1990,PLW,AGE80-84,MLE,0.157942
2012,,AGE40-44,BTSX,0.002564
2000,VEN,AGE20-24,MLE,0.003547
2013,POL,AGE10-14,FMLE,0.000115
2000,MYS,AGE5-9,MLE,0.000405
2000,COG,AGE80-84,MLE,0.155908
2012,JOR,AGE5-9,MLE,0.000394
1990,MNG,AGE85-89,FMLE,0.26308
2000,BEL,AGE65-69,MLE,0.023393
2000,LSO,AGE30-34,MLE,0.018413
1990,BGD,AGE85-89,MLE,0.183761
2012,AUT,AGE15-19,MLE,0.000442
2012,EST,AGE90-94,FMLE,0.190665
2012,TUV,AGE30-34,FMLE,0.002016
2000,PAK,AGE5-9,MLE,0.001502
2000,AUS,AGE35-39,FMLE,0.000746
2012,TUV,AGE65-69,FMLE,0.031522
2000,OMN,AGE80-84,MLE,0.126719
2000,LBR,AGE45-49,FMLE,0.010677
2013,PLW,AGE50-54,MLE,0.007528
1990,,AGE95-99,BTSX,0.333441
2000,ALB,AGE45-49,FMLE,0.004
1990,UZB,AGE100PLUS,FMLE,0.326987
2013,SEN,AGE65-69,FMLE,0.030093
2013,KEN,AGE100PLUS,MLE,0.637521
2013,BWA,AGE30-34,FMLE,0.005454
2012,JPN,AGE55-59,FMLE,0.002799
1990,PLW,AGE45-49,MLE,0.008525
2012,,AGE20-24,MLE,0.002079
1990,GHA,AGE20-24,FMLE,0.004
2012,DMA,AGE60-64,FMLE,0.011265
2000,MNG,AGE20-24,FMLE,0.001199
1990,TUN,AGE25-29,FMLE,0.000963
2012,RWA,AGE1-4,MLE,0.004697
2000,AZE,AGE80-84,FMLE,0.121891
2012,KGZ,AGE1-4,FMLE,0.000675
1990,MEX,AGE100PLUS,FMLE,0.401282
2012,PAK,AGE55-59,MLE,0.013526
2013,SOM,AGE65-69,FMLE,0.034734
2000,MYS,AGE60-64,FMLE,0.016242
1990,ZAF,AGE95-99,FMLE,0.354546
2013,PRT,AGELT1,MLE,0.003209
2000,VEN,AGE55-59,MLE,0.009721
2000,HRV,AGE20-24,FMLE,0.000296
1990,TLS,AGE25-29,FMLE,0.006742
2012,SUR,AGE1-4,FMLE,0.00044
2012,SUR,AGE35-39,FMLE,0.001913
2000,,AGE65-69,BTSX,0.03806
2000,HND,AGE60-64,FMLE,0.011596
2000,PAK,AGE25-29,FMLE,0.001859
1990,BOL,AGE85-89,MLE,0.238996
2012,BFA,AGE55-59,FMLE,0.014127
2012,GHA,AGE25-29,MLE,0.004084
2000,VUT,AGE25-29,MLE,0.002051
1990,UZB,AGE45-49,MLE,0.008451
1990,ZMB,AGE80-84,MLE,0.187542
2000,,AGE30-34,FMLE,0.007959
2012,LSO,AGE1-4,MLE,0.007196
2012,RWA,AGE35-39,MLE,0.005485
2000,TCD,AGE5-9,MLE,0.004717
2013,PHL,AGE10-14,MLE,0.000541
1990,,AGE85-89,BTSX,0.186066
2013,BRN,AGE15-19,FMLE,0.000309
2000,SVN,AGE80-84,MLE,0.112621
1990,JOR,AGE60-64,MLE,0.022
2000,BOL,AGE75-79,FMLE,0.077558
2013,FSM,AGE45-49,FMLE,0.004703
2000,UKR,AGE1-4,MLE,0.000739
2012,ARM,AGE90-94,MLE,0.351213
1990,ETH,AGE95-99,FMLE,0.465246
2012,TUN,AGE60-64,MLE,0.015021
2000,AZE,AGE25-29,MLE,0.001774
2013,HUN,AGE70-74,FMLE,0.02468
2012,MDV,AGE95-99,MLE,0.226427
2000,QAT,AGE10-14,MLE,0.000337
1990,PRT,AGE45-49,FMLE,0.002497
1990,BGD,AGE25-29,FMLE,0.002688
2000,LBR,AGE80-84,FMLE,0.17342
