iso_code,year,rateofoutofschoolM
PRY,1993,2.92884
PRY,1994,8.09119
PRY,1996,5.17544
PRY,1999,3.10884
PRY,2000,2.50736
PRY,2001,2.42479
PRY,2002,4.02585
PRY,2003,4.74628
PRY,2004,5.3684
PRY,2005,4.93241
PRY,2006,6.51672
PRY,2007,8.17098
PRY,2008,9.52038
PRY,2009,10.59274
PRY,2010,10.20738
PRY,2011,10.23194
PRY,2012,10.65968
COD,1971,15.64507
COD,1972,18.33751
COD,1975,17.34446
COD,1979,13.75362
COD,1983,12.87929
COD,1984,12.83173
COD,1988,27.54362
COD,1991,32.09236
COD,1992,34.75755
COD,1993,36.40558
COD,1994,34.49818
COD,1995,22.46865
COD,1999,63.75535
GBR,1971,1.82953
GBR,1972,2.57719
GBR,1973,3.55301
GBR,1974,4.11873
GBR,1975,4.31554
GBR,1976,4.36353
GBR,1977,4.0401
GBR,1978,3.98945
GBR,1979,3.79178
GBR,1980,2.39068
GBR,1981,2.55264
GBR,1982,3.54687
GBR,1983,5.04736
GBR,1984,5.34221
GBR,1985,6.53698
GBR,1986,4.88422
GBR,1987,2.16772
GBR,1988,0.47573
GBR,1991,2.04277
GBR,1992,3.49128
GBR,1998,0.03827
GBR,1999,0.07676
GBR,2000,0.07707
GBR,2002,0.26533
GBR,2003,0.16602
GBR,2004,0.7845
GBR,2005,
GBR,2006,0.61784
GBR,2007,2.52416
GBR,2008,0.90861
GBR,2009,1.2518
GBR,2010,0.5785
GBR,2011,0.28727
GBR,2012,0.12879
GRD,1972,16.57515
GRD,1977,2.37332
GRD,1980,2.38181
GRD,1981,8.37346
GRD,1982,11.58229
GRD,1983,11.68938
GRD,1984,9.57547
GRD,2002,2.97188
GRD,2004,1.56576
GRD,2005,10.06649
GRD,2007,7.0966
GRD,2008,4.87393
GRD,2009,4.23044
GRD,2013,1.62936
BTN,1978,68.17804
BTN,1979,64.95338
BTN,1998,41.11518
BTN,1999,40.38511
BTN,2000,37.90895
BTN,2001,34.48739
BTN,2005,27.19371
BTN,2006,23.77253
BTN,2008,19.12386
BTN,2009,14.87456
BTN,2010,13.14482
BTN,2011,12.44827
BTN,2012,10.65413
BTN,2013,12.05984
BTN,2014,12.25808
CRI,1970,11.80018
CRI,1972,9.86986
CRI,1973,8.79888
CRI,1975,9.80778
CRI,1976,8.35382
CRI,1978,9.50764
CRI,1979,10.84317
CRI,1980,10.71571
CRI,1981,9.9136
CRI,1982,11.66822
CRI,1985,13.83261
CRI,1986,13.05228
CRI,1987,12.8095
CRI,1989,12.33427
CRI,1990,12.47954
CRI,1991,12.07889
CRI,2011,0.67978
CRI,2012,0.66134
CRI,2013,1.73335
CRI,2014,3.64096
GMB,1971,67.72914
GMB,1972,69.221
GMB,1973,68.2159
GMB,1974,68.19941
GMB,1975,67.01564
GMB,1976,64.96404
GMB,1977,58.54321
GMB,1978,54.55105
GMB,1979,49.44478
GMB,1980,44.00748
GMB,1981,33.81141
GMB,1982,29.37744
GMB,1983,26.05964
GMB,1984,26.03315
GMB,1985,23.34271
GMB,1986,25.02014
GMB,1992,46.30763
GMB,1993,43.00509
GMB,1996,33.82109
GMB,1998,31.18154
GMB,1999,19.68451
GMB,2000,23.41801
GMB,2001,23.75317
GMB,2002,25.89479
GMB,2003,24.32703
GMB,2004,25.5493
GMB,2005,29.11761
GMB,2006,24.75042
GMB,2007,25.35874
GMB,2008,30.23207
GMB,2010,30.85514
GMB,2011,31.49206
GMB,2012,29.65634
GMB,2013,33.65783
GMB,2014,33.7658
TCA,2003,24.69598
TCA,2004,19.3977
TCA,2005,22.52836
QAT,1971,13.58145
QAT,1972,13.26187
QAT,1973,12.52579
QAT,1974,12.78495
QAT,1976,13.05044
QAT,1977,8.11909
QAT,1978,3.95184
QAT,1979,1.7246
QAT,1981,3.70202
QAT,1983,4.31202
QAT,1984,5.66774
QAT,1985,9.23974
QAT,1986,10.5594
QAT,1987,10.72468
QAT,1988,12.26764
QAT,1989,12.58118
QAT,1990,13.57609
QAT,1991,18.59167
QAT,1992,19.19672
QAT,1993,19.84695
QAT,1994,14.12123
QAT,1999,8.87284
QAT,2000,8.33526
QAT,2001,7.26826
QAT,2002,0.53609
QAT,2006,14.52266
QAT,2007,5.45887
QAT,2009,4.55168
QAT,2010,7.84475
QAT,2011,0.97475
UZB,2007,2.30625
UZB,2008,4.37001
UZB,2009,5.19782
UZB,2010,4.46596
UZB,2011,3.99146
ABW,1999,2.6777
ABW,2000,1.49077
ABW,2001,3.62978
ABW,2002,3.91586
ABW,2003,4.87484
ABW,2004,3.53963
ABW,2005,0.75988
ABW,2006,0.52265
ABW,2007,0.43234
ABW,2008,0.53512
ABW,2009,5.74141
ISL,1994,2.49901
ISL,1996,2.36741
ISL,1997,2.08306
ISL,1998,0.78622
ISL,2004,1.18643
ISL,2005,1.01425
ISL,2006,1.5183
ISL,2007,2.18848
ISL,2008,1.62061
ISL,2009,1.06861
