GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2008,EUR,ALB,MONTHS1-59,BTSX,,0.3,0.32992,,,
MORT_300,CH6,PUBLISHED,2000,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EUR,ALB,YEARS0-4,BTSX,,0.1,0.10197,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ALB,YEARS0-4,BTSX,,0,0.04117,,,
MORT_300,CH6,PUBLISHED,2010,EUR,ALB,MONTHS1-59,BTSX,,0.2,0.15075,,,
MORT_300,CH6,PUBLISHED,2013,EUR,ALB,YEARS0-4,BTSX,,0.1,0.14325,,,
MORT_300,CH6,PUBLISHED,2013,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,ALB,YEARS0-4,BTSX,,0.1,0.09589,,,
MORT_300,CH6,PUBLISHED,2011,EUR,ALB,YEARS0-4,BTSX,,0.3,0.25452,,,
MORT_300,CH6,PUBLISHED,2004,EUR,ALB,YEARS0-4,BTSX,,0,0.02019,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EUR,ALB,YEARS0-4,BTSX,,0.1,0.07659,,,
MORT_300,CH6,PUBLISHED,2007,EUR,ALB,MONTHS1-59,BTSX,,0.1,0.08735,,,
MORT_300,CH6,PUBLISHED,2005,EUR,ALB,MONTHS1-59,BTSX,,0.1,0.05362,,,
MORT_300,CH6,PUBLISHED,2008,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EUR,ALB,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EUR,AND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,AND,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EUR,AND,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
