iso_code,year,rateofoutofschoolMF
NER,1977,84.53717
NER,1978,83.43657
NER,1981,80.42852
NER,1986,76.46817
NER,1989,77.01464
NER,1990,76.54788
NER,1991,75.78463
NER,1992,77.75034
NER,1997,75.17385
NER,1998,74.9595
NER,1999,73.29263
NER,2000,72.61861
NER,2001,68.98892
NER,2002,65.3834
NER,2003,61.66124
NER,2004,58.16399
NER,2005,58.19759
NER,2006,56.87926
NER,2007,55.63392
NER,2008,52.179
NER,2009,48.3614
NER,2010,44.25429
NER,2011,39.43845
NER,2012,37.94256
NER,2013,38.22129
NER,2014,38.24021
KNA,1984,0.63837
KNA,1985,14.06749
KNA,1986,11.59015
KNA,1988,1.27262
KNA,1989,1.19397
KNA,1992,0.56652
KNA,2000,2.78226
KNA,2001,5.75403
KNA,2002,3.78262
KNA,2003,3.12744
KNA,2004,3.49804
KNA,2005,4.3709
KNA,2007,10.15849
KNA,2008,17.41271
KNA,2009,7.70833
KNA,2010,13.98685
KNA,2011,12.61668
KNA,2012,16.05928
KNA,2013,17.79764
KNA,2014,18.86821
STP,1983,3.86967
STP,1984,3.89845
STP,1987,10.21856
STP,1988,7.93727
STP,1990,3.3103
STP,1999,17.50152
STP,2002,2.19076
STP,2003,1.28299
STP,2004,0.95851
STP,2005,1.05449
STP,2007,7.69713
STP,2008,6.57489
STP,2009,5.32217
STP,2010,5.10189
STP,2013,5.29128
STP,2014,4.47713
STP,2015,4.30018
MEX,1971,20.5282
MEX,1977,11.90264
MEX,1985,5.6928
MEX,1986,3.93653
MEX,1987,3.07847
MEX,1988,3.12229
MEX,1989,4.96292
MEX,1990,2.94252
MEX,1991,3.18596
MEX,1992,2.74857
MEX,1993,2.8323
MEX,1994,3.24535
MEX,1995,3.45967
MEX,1996,3.84943
MEX,1997,4.48986
MEX,1998,4.49277
MEX,1999,1.74538
MEX,2000,1.41852
MEX,2001,1.57754
MEX,2002,0.95482
MEX,2003,1.52612
MEX,2004,2.61589
MEX,2005,3.87505
MEX,2006,4.83545
MEX,2007,5.13331
MEX,2008,5.19485
MEX,2009,4.58046
MEX,2010,3.73454
MEX,2011,2.97034
MEX,2012,2.38942
MEX,2013,2.50841
CPV,1981,10.98959
CPV,1982,12.43159
CPV,1983,15.4171
CPV,1984,8.79489
CPV,1985,5.78956
