GHO,GBDCHILDCAUSES,PUBLISHSTATE,year,region,code,agegroup,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH5,PUBLISHED,2011,SEAR,PRK,MONTHS1-59,BTSX,,0,0.01953,,,
MORT_300,CH5,PUBLISHED,2002,AMR,USA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,EMR,MAR,MONTHS1-59,BTSX,,0,0.00215,,,
MORT_300,CH5,PUBLISHED,2013,AMR,BRA,MONTHS1-59,BTSX,,0,0.00154,,,
MORT_300,CH5,PUBLISHED,2007,AFR,ZAF,MONTHS1-59,BTSX,,0,0.01535,,,
MORT_300,CH5,PUBLISHED,2010,WPR,WSM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,AMR,BOL,MONTHS1-59,BTSX,,0,0.01677,,,
MORT_300,CH5,PUBLISHED,2007,AMR,SLV,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,WPR,NZL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,MNE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EUR,DEU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,EMR,OMN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AMR,CAN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,WPR,MNG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EMR,KWT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,,,MONTHS1-59,BTSX,UNICEF_TACRO,0,0.0085,,,
MORT_300,CH5,PUBLISHED,2003,WPR,PNG,MONTHS1-59,BTSX,,0,0.026,,,
MORT_300,CH5,PUBLISHED,2000,,,MONTHS1-59,BTSX,WBDCP_MIDEASTNAF,0,0.0207,,,
MORT_300,CH5,PUBLISHED,2006,EUR,AUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,EUR,TJK,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,AMR,GRD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AFR,SYC,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,EUR,ESP,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,AMR,COL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,,,MONTHS1-59,BTSX,MDG_EAS,0,0.02168,,,
MORT_300,CH5,PUBLISHED,2011,EUR,AZE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,WPR,KIR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,WPR,FSM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,EUR,HUN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,AMR,PRY,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,AMR,JAM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AMR,HND,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AMR,USA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AMR,NIC,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,,,MONTHS1-59,BTSX,MDG_NAF,0,0.00413,,,
MORT_300,CH5,PUBLISHED,2013,AMR,CRI,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EUR,BLR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,WPR,KOR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,EMR,KWT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,EUR,PRT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,AFR,TGO,MONTHS1-59,BTSX,,0,0.0079,,,
MORT_300,CH5,PUBLISHED,2000,EMR,EGY,MONTHS1-59,BTSX,,0,0.0064,,,
MORT_300,CH5,PUBLISHED,2013,AMR,NIC,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,,,MONTHS1-59,BTSX,REG7_AHIGH,0,0,,,
MORT_300,CH5,PUBLISHED,2007,SEAR,MMR,MONTHS1-59,BTSX,,0,0.0147,,,
MORT_300,CH5,PUBLISHED,2010,AMR,LCA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,AFR,BWA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,WPR,WSM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,EMR,SDN,MONTHS1-59,BTSX,,0,0.0083,,,
MORT_300,CH5,PUBLISHED,2012,EUR,KAZ,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EMR,SAU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,AFR,MDG,MONTHS1-59,BTSX,,0,0.01248,,,
MORT_300,CH5,PUBLISHED,2003,EUR,SRB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,WPR,PHL,MONTHS1-59,BTSX,,0,0.01452,,,
MORT_300,CH5,PUBLISHED,2002,EUR,CZE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2006,EMR,IRQ,MONTHS1-59,BTSX,,0,0.04902,,,
MORT_300,CH5,PUBLISHED,2006,AFR,NAM,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,,,MONTHS1-59,BTSX,REG7_AFR,0,0.01521,,,
MORT_300,CH5,PUBLISHED,2010,,,MONTHS1-59,BTSX,UNICEF_CEECIS,0,0.00023,,,
MORT_300,CH5,PUBLISHED,2013,WPR,VUT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,,,MONTHS1-59,BTSX,REG7_WPR,0,0.01883,,,
MORT_300,CH5,PUBLISHED,2009,AFR,MWI,MONTHS1-59,BTSX,,0,0.00555,,,
MORT_300,CH5,PUBLISHED,2012,EMR,MAR,MONTHS1-59,BTSX,,0,0.0023,,,
MORT_300,CH5,PUBLISHED,2009,EUR,SRB,MONTHS1-59,BTSX,,0,0,,,
