ISO_code,country,region,Gavi_MCV2,MMR68_priority,MCV_complete,MCV_partial
THA,Thailand,SEARO,No,no,1999,1996
MKD,The former Yugoslav Republic of Macedonia,EURO,No,no,1987,
TLS,Timor-Leste,SEARO,No,yes,,
TGO,Togo,AFRO,Yes,yes,,
TON,Tonga,WPRO,No,no,2002,
TTO,Trinidad and Tobago,AMRO,No,no,2001,
TUN,Tunisia,EMRO,No,no,1981,
TUR,Turkey,EURO,No,no,1997,
TKM,Turkmenistan,EURO,No,no,1988,
TUV,Tuvalu,WPRO,No,yes,2005,
UGA,Uganda,AFRO,Yes,yes,,
UKR,Ukraine,EURO,No,no,1986,
ARE,United Arab Emirates (the),EMRO,No,no,1985,
GBR,United Kingdom of Great Britain and Northern Ireland (the),EURO,No,no,1996,
TZA,United Republic of Tanzania (the),AFRO,Yes,yes,2014,
USA,United States of America (the),AMRO,No,no,1989,
URY,Uruguay,AMRO,No,no,1992,
UZB,Uzbekistan,EURO,Yes,no,1986,
VUT,Vanuatu,WPRO,No,yes,,
VEN,Venezuela (Bolivarian Republic of),AMRO,No,no,2009,
VNM,Viet Nam,WPRO,Yes,yes,2006,
YEM,Yemen,EMRO,Yes,yes,2004,
ZMB,Zambia,AFRO,Yes,yes,2013,
ZWE,Zimbabwe,AFRO,Yes,yes,2016,
