region,code,country,diptheria2014,diptheria2013,diptheria2012,diptheria2011,diptheria2010,diptheria2009,diptheria2008,diptheria2007,diptheria2006,diptheria2005,diptheria2004,diptheria2003,diptheria2002,diptheria2001,diptheria2000,diptheria1999,diptheria1998,diptheria1997,diptheria1996,diptheria1995,diptheria1994,diptheria1993,diptheria1992,diptheria1991,diptheria1990,diptheria1989,diptheria1988,diptheria1987,diptheria1986,diptheria1985,diptheria1984,diptheria1983,diptheria1982,diptheria1981,diptheria1980
AMR,BOL,Bolivia (Plurinational State of),0,0,0,0,5,0,0,0,0,0,2,3,5,3,1,2,8,3,1,5,5,4,20,2,4,11,9,16,15,31,25,49,24,22,31
EUR,BIH,Bosnia and Herzegovina,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
AFR,BWA,Botswana,0,0,0,0,0,0,0,0,,0,,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,15,1,2
AMR,BRA,Brazil,4,4,0,5,32,4,85,0,9,27,15,49,19,10,46,53,217,32,181,171,245,252,276,495,640,801,987,1284,1804,2304,2860,3369,3297,3846,4646
WPR,BRN,Brunei Darussalam,0,,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,0,0
EUR,BGR,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2
AFR,BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,13,15,28,42,51,383,737,751,759,725
AFR,BDI,Burundi,,,,0,0,0,0,0,0,0,0,,,,0,0,,,,0,,,30,1,0,2,3,2,3,14,4,19,8,20,6
AFR,CPV,Cabo Verde,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,,1,0,2,3,0,2
WPR,KHM,Cambodia,0,0,,,3,3,7,5,0,0,4,3,0,0,0,,0,0,0,,5,22,13,11,179,70,13,88,292,367,410,460,1503,1231,1559
AFR,CMR,Cameroon,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,4,8,41,412,0,0,0,
AMR,CAN,Canada,1,0,1,1,0,2,4,5,0,0,1,2,2,0,0,1,0,1,0,2,1,2,2,3,5,3,4,4,5,9,8,11,12,7,55
AFR,CAF,Central African Republic (the),0,35,0,,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,,,,0,0,10,6,4,0,1,21,23,25,8
AFR,TCD,Chad,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4,10,4,1,0,,
AMR,CHL,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,12,25,36,47,132,183,290,223,154,76,122,203,253
WPR,CHN,China,,0,0,0,0,0,0,0,1,0,2,9,11,12,19,16,40,35,,85,119,124,146,231,421,343,267,427,787,1423,3418,7227,6502,8481,9767
AMR,COL,Colombia,0,0,0,0,0,0,0,0,0,1,0,1,4,0,11,0,2,3,7,12,14,45,76,10,16,42,23,45,23,252,54,127,117,145,0
AFR,COM,Comoros (the),0,0,,,0,0,,0,0,0,0,0,0,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
AFR,COG,Congo (the),0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,2
WPR,COK,Cook Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,CRI,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,CIV,C™te d'Ivoire,,,,,,,,,,,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,
EUR,HRV,Croatia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
AMR,CUB,Cuba,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,CYP,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,CZE,Czech Republic (the),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,37,18
AFR,COD,Democratic Republic of the Congo (the),,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,54,26,24,43
EUR,DNK,Denmark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EMR,DJI,Djibouti,,0,0,0,0,0,0,0,,0,0,0,,0,0,2,2,,0,0,,0,0,0,0,0,4,0,,1,3,0,0,1,411
AMR,DMA,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AMR,DOM,Dominican Republic (the),0,0,0,2,4,5,3,4,16,39,122,38,35,47,52,44,25,25,6,13,4,6,31,11,27,29,105,77,52,100,142,124,120,125,187
AMR,ECU,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5,21,21,22,154,565,13,10,5,3,4,8,18,11,44,77,24,38,22,16
EMR,EGY,Egypt,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,3,1,6,10,18,29,44,55,59,110,184,368,630,663,727,994,804,411,333
AMR,SLV,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,15,18,22,1,2
AFR,GNQ,Equatorial Guinea,0,0,0,0,,,,,,,,,0,0,,,,0,0,,,,,,,,,,,,,3,,,
AFR,ERI,Eritrea,,0,8,5,3,4,,,0,,3,,,,,,,,0,0,,,,,,,,,,,,,,,
EUR,EST,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,14,19,7,11,3,7,0,,,,,,,,,,
AFR,ETH,Ethiopia,,,,,,,,,,,,,,,,125,19,,,45,,,,,61,10,60,271,121,99,524,354,697,304,142
WPR,FJI,Fiji,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,FIN,Finland,,0,,0,0,0,0,0,0,0,0,0,0,2,,,0,0,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,FRA,France,6,5,,,,0,5,1,3,0,5,0,1,,0,,,,0,0,0,1,0,0,0,1,0,2,4,4,2,4,3,6,3
AFR,GAB,Gabon,,,,,,,,,0,,0,,0,,,,,,0,,,18,463,,,16,3,20,4,7,11,4,1,0,1
AFR,GMB,Gambia (the),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,0,0
EUR,GEO,Georgia,2,4,0,1,0,3,7,9,14,10,12,26,28,22,28,60,114,286,348,429,312,28,3,7,,,,,,,,,,,
EUR,DEU,Germany,9,4,9,4,8,4,0,2,0,1,1,0,1,0,0,1,1,3,3,4,8,9,1,2,6,5,4,8,7,4,8,17,30,7,19
AFR,GHA,Ghana,0,0,0,,47,0,,0,0,,,0,0,0,0,0,,,3,0,0,5,4,0,66,38,43,37,4,1,37,17,65,27,40
EUR,GRC,Greece,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
AMR,GRD,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AMR,GTM,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,2,10,0,0,0,17,3,13,14,17,9
AFR,GIN,Guinea,,0,0,0,0,0,0,0,0,36,8,134,114,0,0,0,0,0,0,,,,,,37,25,5,5,0,0,60,86,4,16,0
AFR,GNB,Guinea-Bissau,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,,,12,0,0,1,0,40,0,,0,0,0,0
AMR,GUY,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMR,HTI,Haiti,3,0,0,2,16,0,3,5,5,3,37,2,6,5,0,8,0,0,0,0,,,,,0,2,29,7,4,55,25,21,26,24,23
AMR,HND,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EUR,HUN,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,6
EUR,ISL,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAR,IND,India,6094,3133,2525,4233,3434,3529,3977,3812,2834,5826,8465,4236,5301,5472,5125,1786,1378,1326,2504,2123,3040,7131,8115,12550,8425,11152,16472,12952,9426,15685,17055,13776,17191,26315,39231
SEAR,IDN,Indonesia,,775,1192,806,432,189,219,183,432,499,197,402,51,34,23,114,14,4355,562,597,64,82,129,1342,2200,1603,2079,268,928,1161,1792,1389,3285,3507,3674
EMR,IRN,Iran (Islamic Republic of),13,190,150,132,106,58,52,32,26,15,6,24,10,15,18,13,13,30,13,9,14,32,90,335,373,263,288,480,162,143,128,157,295,377,139
EMR,IRQ,Iraq,5,4,3,0,2,13,6,3,6,6,17,,,33,34,142,181,290,460,133,132,239,369,261,10,238,415,314,350,1348,1378,1169,1260,1393,1122
EUR,IRL,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,ISR,Israel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EUR,ITA,Italy,,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,1,2,5,0,1,3,5,7,10,19,34,30
AMR,JAM,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,6,2,8,7,8,12,17,18,13
WPR,JPN,Japan,0,0,0,0,0,0,0,0,,,0,0,0,1,1,,1,,1,,,5,,2,5,4,9,7,9,9,15,20,30,47,66
EMR,JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,13,20,4,5
EUR,KAZ,Kazakhstan,0,0,0,0,0,0,5,5,9,1,0,4,14,14,13,17,75,162,455,1105,489,82,45,30,28,,,,,,,,,,
AFR,KEN,Kenya,,,,,,,,,,,0,0,,6,15,13,3,0,,0,,,,,1,0,0,0,0,0,0,2,2,0,6395
WPR,KIR,Kiribati,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,1
EMR,KWT,Kuwait,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,1
EUR,KGZ,Kyrgyzstan,,0,0,0,0,0,0,1,2,1,2,1,3,13,15,66,138,292,412,704,304,6,4,10,6,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),0,20,130,0,34,0,2,2,2,9,11,116,40,2,3,6,8,10,319,0,193,4,5,2,9,14,23,189,37,23,30,64,813,,11
EUR,LVA,Latvia,13,14,8,6,2,6,28,18,32,20,20,26,45,91,264,81,67,42,112,369,250,12,8,5,3,,,,,,,,,,
EMR,LBN,Lebanon,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,,,,,0,0,0,0,1,,1,
AFR,LSO,Lesotho,0,0,0,0,0,0,0,0,0,,0,23,0,0,,0,,,,,,,,1,37,80,72,4,14,26,16,23,135,8,13
AFR,LBR,Liberia,0,0,0,0,0,0,,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,
EMR,LBY,Libya,,,,,,0,0,0,0,0,,,2,0,,,0,0,,,0,0,0,0,0,0,1,0,0,0,0,2,2,1,6
EUR,LTU,Lithuania,0,0,0,1,0,0,4,0,0,0,0,0,3,0,2,6,2,2,11,43,38,8,9,1,,,,,,,,,,,
EUR,LUX,Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AFR,MDG,Madagascar,,0,1,5,0,,,3,0,,,,,12,12,,112,51,154,179,,,,,252,246,544,174,288,1963,1799,1988,1333,836,227
AFR,MWI,Malawi,1,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,30,,,,,,,33,31,69,11,13
WPR,MYS,Malaysia,2,4,0,0,3,0,4,2,0,3,3,11,2,4,1,6,5,1,0,1,0,4,4,12,9,35,20,26,28,39,17,24,10,15,131
SEAR,MDV,Maldives,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFR,MLI,Mali,0,,,,,,0,,0,0,0,,,,,0,,,0,1,,,,6,5,13,1,50,15,259,29,58,2,2,143
EUR,MLT,Malta,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,MHL,Marshall Islands (the),,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,1,0,0,0,0,0,0,0
AFR,MRT,Mauritania,,,0,,,,0,0,,0,,0,,,,,,0,,,,,,,18,137,113,51,80,129,80,26,2,0,0
AFR,MUS,Mauritius,0,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,,,0,,,,,,,0,0,0,0,1,0,0,0,0,0
AMR,MEX,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,31,28,4,0,0,0,1,7
WPR,FSM,Micronesia (Federated States of),0,,,,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,,,,,
EUR,MCO,Monaco,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0
WPR,MNG,Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,5,6,4,11,50,69,48,128,14,6,0,1,1,7,24,0,0,0,0,0,0,0,0
EUR,MNE,Montenegro,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,7,7,11,20,33,48,38,43
AFR,MOZ,Mozambique,,,,,,,0,,0,0,0,0,0,0,,,,0,1,,0,0,2,2,0,1,3,1,1,1,3,4,18,6,11
SEAR,MMR,Myanmar,29,38,19,7,4,19,3,5,3,5,1,21,50,,17,18,22,5,15,28,46,92,54,114,181,199,231,313,159,268,353,595,782,959,830
AFR,NAM,Namibia,0,,2,2,0,,0,0,,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,
WPR,NRU,Nauru,,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0
SEAR,NPL,Nepal,1079,103,138,94,146,277,149,44,72,46,81,173,108,390,268,,511,726,1372,2038,16,4,16,15,7,3,13,15,11,1156,1293,115,111,20,82
EUR,NLD,Netherlands (the),0,0,1,1,,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0
WPR,NZL,New Zealand,2,0,0,20,0,0,,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,2,1,0,2,4,1,0,1
AMR,NIC,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,5
AFR,NER,Niger (the),0,73,0,0,0,0,0,10,29,,0,2,11,48,12,0,25,31,,4,,,,,102,75,19,22,35,269,,,16,27,34
AFR,NGA,Nigeria,,,,0,,,,,312,,,,790,2468,3995,,708,,2016,,469,2042,2351,2849,1768,5039,1930,715,1871,1996,733,275,1170,164,165
WPR,NIU,Niue,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EUR,NOR,Norway,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EMR,OMN,Oman,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6,9,13,19,10,7
EMR,PAK,Pakistan,9,183,98,22,37,34,32,11,42,23,24,26,22,19,13,12,20,26,13,9,28,34,72,26,1371,167,2011,2720,3179,1450,670,1402,6520,14338,14328
WPR,PLW,Palau,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WPR,PNG,Papua New Guinea,0,,0,0,0,,,0,0,593,,403,26,311,15,0,645,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AMR,PRY,Paraguay,0,0,0,2,0,0,0,0,0,0,4,2,50,1,0,0,0,0,0,1,1,6,6,4,10,8,12,19,19,27,10,3,14,6,14
AMR,PER,Peru,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,4,31,10,6,35,44,68,36,54,117,140,127,121,189,160,185
WPR,PHL,Philippines (the),0,6,,,107,118,65,39,47,118,89,88,62,73,88,64,83,138,,173,316,323,759,1004,921,940,1202,1443,1630,1669,1968,1812,2140,819,1910
EUR,POL,Poland,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,0,9,2,2,10,1,0,0,0,1,1,0,0,0,1,0,1,0
EUR,PRT,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,1,6,3,51,10,36,16,18,90
EMR,QAT,Qatar,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,2,0,1
WPR,KOR,Republic of Korea (the),0,0,0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,,,1,,0,0,0,1,2,2,16,19,17,43,51
EUR,MDA,Republic of Moldova (the),0,0,0,0,0,1,0,0,0,0,0,0,1,5,10,11,11,49,94,418,376,35,22,14,6,,,,,,,,,,
EUR,ROU,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,1,19,14,1,0,12
EUR,RUS,Russian Federation (the),1,2,5,5,9,14,50,91,178,353,505,655,778,909,771,838,1409,4037,13687,35631,39703,15229,3897,1869,1211,,,,,,,,,,
AFR,RWA,Rwanda,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,0,,,,,1,14,3,0,1,2,15,1,0,5,8,3
AMR,KNA,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,LCA,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,VCT,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,WSM,Samoa,,,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
EUR,SMR,San Marino,,,0,,0,0,,0,0,0,0,0,,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,STP,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,,,,0,0,0,0,0,0,0,0
EMR,SAU,Saudi Arabia,2,0,0,3,0,0,0,3,2,7,,2,9,0,,0,0,1,0,1,1,8,2,2,1,8,14,21,33,65,128,210,188,177,99
AFR,SEN,Senegal,0,,,,,0,,0,,0,,,,,,,0,0,,,,,,,,,,,,,,162,100,91,291
EUR,SRB,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
AFR,SYC,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,0,0,
AFR,SLE,Sierra Leone,,,,,,,,0,0,0,,0,,,0,,,0,,,,,,,,,,10,0,0,804,,,0,0
WPR,SGP,Singapore,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,1,1,1,0,1,1,0,0,4,6,0,0
EUR,SVK,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
EUR,SVN,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
WPR,SLB,Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
EMR,SOM,Somalia,,7,65,,,,,,,,,,,,,,0,,,,,,,,,24,3,7,6,19,58,206,,,
AFR,ZAF,South Africa,,,,0,,1,,,,,0,3,1,0,2,0,4,3,0,,,5,3,12,34,12,19,28,19,46,44,29,27,63,57
AFR,SSD,South Sudan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,7
SEAR,LKA,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,1,0,0,1,0,1,0,0,0,0,3,10,20,26,22,36,37
EMR,SDN,Sudan (the),11,0,18,193,1,4,38,7,15,13,70,156,26,28,26,21,67,15,17,17,79,42,121,432,1342,382,845,310,892,342,166,156,1008,982,587
AMR,SUR,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
AFR,SWZ,Swaziland,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUR,SWE,Sweden,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,3,10,10,14,0,0,4,4
EUR,CHE,Switzerland,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
EMR,SYR,Syrian Arab Republic (the),,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,5,59,13,61,31,16,91,70,80,173,203,303,332,400,448,353,498,493,366
EUR,TJK,Tajikistan,0,0,0,0,0,0,2,3,2,3,3,14,11,3,11,35,166,723,1496,4455,1912,678,14,5,11,,,,,,,,,,
SEAR,THA,Thailand,,28,63,28,77,12,8,3,2,1,13,9,13,11,15,52,43,38,53,19,40,28,40,53,58,87,216,536,632,762,1021,1038,1125,794,1918
