year,country,AGEGROUP,SEX,Display Value
2013,,AGE75-79,MLE,0.37898
2000,SEN,AGE20-24,FMLE,0.016
2000,KAZ,AGE55-59,MLE,0.15275
2012,MNG,AGE75-79,FMLE,0.330301
1990,SLB,AGELT1,MLE,0.034726
2013,TJK,AGE1-4,MLE,0.010058
1990,MMR,AGE45-49,FMLE,0.03686
2012,KNA,AGE25-29,FMLE,0.001751
2012,DJI,AGE60-64,MLE,0.126742
1990,RUS,AGE75-79,FMLE,0.263
2000,CUB,AGE1-4,MLE,0.002114
1990,EGY,AGE65-69,MLE,0.180395
2013,PAK,AGE85-89,FMLE,0.647839
2000,CZE,AGE25-29,FMLE,0.001628
1990,UKR,AGE100PLUS,FMLE,1
2013,BFA,AGE90-94,MLE,0.897478
2012,NLD,AGE80-84,FMLE,0.238968
1990,KOR,AGELT1,FMLE,0.005998
1990,RUS,AGE70-74,FMLE,0.170337
1990,JOR,AGE30-34,FMLE,0.008
1990,ZAF,AGE45-49,MLE,0.058098
2012,LUX,AGE25-29,FMLE,0.001356
1990,RWA,AGE60-64,FMLE,0.126847
2012,ISL,AGE20-24,FMLE,0.00085
1990,NRU,AGE60-64,MLE,0.111
2000,MLI,AGELT1,FMLE,0.107799
1990,COL,AGE40-44,FMLE,0.011536
2012,SWE,AGE1-4,FMLE,0.000484
1990,URY,AGELT1,MLE,0.022612
2012,OMN,AGE30-34,FMLE,0.002742
2013,GBR,AGE35-39,MLE,0.006258
2000,,AGE85-89,BTSX,0.458774
2000,GAB,AGE75-79,FMLE,0.312706
2012,PRY,AGE90-94,MLE,0.621054
2000,ARE,AGE45-49,MLE,0.015167
2013,AUT,AGE70-74,MLE,0.11327
1990,ISR,AGE95-99,FMLE,0.805084
2000,NIC,AGE45-49,FMLE,0.017265
2000,MNE,AGE15-19,MLE,0.003337
2013,ZWE,AGE10-14,FMLE,0.014212
1990,PHL,AGE65-69,FMLE,0.107962
2013,MDV,AGE90-94,FMLE,0.525539
1990,COK,AGE90-94,MLE,0.769
2012,SEN,AGE75-79,FMLE,0.38073
1990,ARE,AGELT1,MLE,0.016085
2000,GHA,AGE80-84,FMLE,0.5059
1990,TZA,AGE90-94,FMLE,0.829944
2012,BRB,AGE60-64,FMLE,0.036567
2000,BGR,AGE50-54,MLE,0.059052
2013,ISL,AGE95-99,FMLE,0.776055
2012,SMR,AGE30-34,MLE,0.000814
2013,VNM,AGE70-74,MLE,0.190642
2012,KOR,AGE5-9,FMLE,0.000544
2013,TGO,AGE10-14,FMLE,0.014037
1990,,AGE1-4,BTSX,0.012333
2012,TCD,AGE1-4,FMLE,0.066012
1990,ZWE,AGE5-9,FMLE,0.010755
2000,ECU,AGE70-74,MLE,0.166199
1990,COK,AGE70-74,FMLE,0.216805
2012,GHA,AGE75-79,MLE,0.346115
2000,BHS,AGE95-99,MLE,0.994297
2012,ECU,AGE30-34,MLE,0.014546
1990,AUT,AGE65-69,MLE,0.138224
2000,HUN,AGE75-79,FMLE,0.241336
2013,VCT,AGE5-9,FMLE,0.0006
2013,AUS,AGE85-89,MLE,0.425132
2013,,AGE80-84,MLE,0.328191
2012,DNK,AGE50-54,FMLE,0.016016
2000,KNA,AGE50-54,FMLE,0.034
1990,DJI,AGE70-74,FMLE,0.252801
2000,WSM,AGE100PLUS,FMLE,1
2012,COL,AGE30-34,MLE,0.014191
2000,AUT,AGE80-84,FMLE,0.293452
2013,GNB,AGE1-4,FMLE,0.049672
2012,TCD,AGE60-64,MLE,0.159317
1990,GUY,AGE45-49,MLE,0.071277
2000,GEO,AGE50-54,FMLE,0.017105
