year,country,AGEGROUP,SEX,Display Value
2013,AFG,AGE85-89,MLE,0.718576
2012,NER,AGE50-54,FMLE,0.046352
2012,EGY,AGE5-9,FMLE,0.002023
2000,JOR,AGE25-29,FMLE,0.004812
2013,SYR,AGE85-89,FMLE,0.527779
1990,,AGE5-9,MLE,0.013696
1990,PRY,AGE20-24,FMLE,0.003534
2012,DJI,AGE45-49,FMLE,0.040318
2013,BHS,AGE95-99,MLE,0.966871
2012,LVA,AGE30-34,FMLE,0.00287
2000,PRT,AGE55-59,FMLE,0.020569
2013,PLW,AGE30-34,MLE,0.006925
2000,CMR,AGE15-19,FMLE,0.017081
2012,AUT,AGE75-79,MLE,0.193625
1990,HUN,AGE15-19,MLE,0.005056
2012,IDN,AGE60-64,FMLE,0.06817
2000,NLD,AGE20-24,MLE,0.003499
2000,POL,AGE95-99,FMLE,0.845338
1990,SVN,AGE45-49,MLE,0.03329
2000,PRK,AGE85-89,MLE,0.795545
2012,SEN,AGE90-94,MLE,0.889937
2013,LVA,AGE35-39,FMLE,0.006718
2012,LBR,AGE20-24,FMLE,0.014069
2000,,AGE10-14,FMLE,0.001687
1990,GUY,AGE100PLUS,FMLE,1
1990,SUR,AGE100PLUS,MLE,1
2012,GIN,AGE80-84,MLE,0.574426
1990,URY,AGE75-79,MLE,0.327869
1990,CHL,AGE70-74,FMLE,0.136859
2000,NIU,AGE95-99,MLE,0.914
2013,CYP,AGE30-34,FMLE,0.001435
2000,USA,AGE85-89,MLE,0.536571
2000,COM,AGE75-79,FMLE,0.37608
1990,SSD,AGE20-24,MLE,0.041353
2012,ARG,AGE55-59,FMLE,0.029672
2012,PAN,AGE100PLUS,FMLE,1
2013,SAU,AGE5-9,MLE,0.002651
2000,,AGE100PLUS,MLE,1
2000,BRA,AGE40-44,MLE,0.027544
1990,AZE,AGE70-74,MLE,0.289032
2012,MDV,AGE50-54,FMLE,0.016767
2000,SGP,AGELT1,MLE,0.003302
1990,,AGE20-24,MLE,0.013186
2012,SLB,AGE5-9,MLE,0.004873
2000,HND,AGE100PLUS,MLE,1
2012,BRN,AGE60-64,FMLE,0.052717
2012,,AGE30-34,MLE,0.01141
2012,RUS,AGE60-64,MLE,0.189138
2000,GBR,AGE45-49,FMLE,0.010204
2012,BWA,AGE20-24,MLE,0.011711
2013,BGD,AGE10-14,FMLE,0.00286
2000,SWE,AGE100PLUS,MLE,1
1990,AGO,AGE15-19,MLE,0.036476
2013,CPV,AGE80-84,MLE,0.49949
2000,AZE,AGE95-99,FMLE,0.905214
2013,CYP,AGE65-69,FMLE,0.03092
2013,MNE,AGE1-4,FMLE,0.000272
2013,MLI,AGE5-9,FMLE,0.019868
1990,BEL,AGE15-19,FMLE,0.001535
2012,SGP,AGE20-24,FMLE,0.000986
1990,SLE,AGE35-39,FMLE,0.069638
2013,MUS,AGE90-94,MLE,0.674483
2013,QAT,AGE55-59,FMLE,0.024746
2012,,AGE35-39,MLE,0.021888
2012,YEM,AGE80-84,MLE,0.553701
2000,SGP,AGE85-89,FMLE,0.393401
2012,ARG,AGE1-4,MLE,0.00164
2012,JOR,AGE75-79,FMLE,0.263486
2000,ROU,AGE50-54,MLE,0.060342
2012,GMB,AGE25-29,FMLE,0.019989
1990,GUY,AGE90-94,MLE,0.66112
1990,GBR,AGE20-24,MLE,0.004807
2013,NRU,AGE5-9,MLE,0.000584
1990,ERI,AGE15-19,FMLE,0.021275
2000,KGZ,AGE45-49,FMLE,0.0239
2012,ALB,AGE5-9,MLE,0.002319
2000,AZE,AGE30-34,FMLE,0.006
1990,SLE,AGE70-74,FMLE,0.465619
2000,SSD,AGE80-84,FMLE,0.57307
2012,ALB,AGE25-29,FMLE,0.003439
2013,BGD,AGE35-39,MLE,0.009293
2012,,AGE70-74,FMLE,0.128332
2012,DEU,AGE25-29,MLE,0.002957
1990,KOR,AGE20-24,MLE,0.007395
2012,GIN,AGE20-24,FMLE,0.018778
2013,CHL,AGE5-9,FMLE,0.000585
1990,,AGE55-59,BTSX,0.067408
2013,MDG,AGE25-29,MLE,0.014684
1990,PRK,AGE20-24,FMLE,0.005363
2012,BRN,AGE5-9,MLE,0.000729
2012,PAN,AGE80-84,MLE,0.317717
2013,DZA,AGE60-64,FMLE,0.066633
1990,NPL,AGE40-44,MLE,0.042344
1990,SEN,AGE90-94,MLE,0.897286
1990,LBN,AGE20-24,MLE,0.024917
2000,WSM,AGE45-49,MLE,0.034686
1990,UGA,AGE15-19,FMLE,0.020428
2000,TUN,AGE45-49,FMLE,0.013336
1990,TZA,AGE35-39,MLE,0.048674
2012,DOM,AGE80-84,FMLE,0.301282
2000,YEM,AGE30-34,MLE,0.019274
2000,COM,AGE100PLUS,MLE,1
2012,DOM,AGE45-49,FMLE,0.013464
2012,MMR,AGE35-39,MLE,0.018859
2012,BWA,AGE75-79,FMLE,0.319111
1990,HND,AGE70-74,FMLE,0.150638
2012,LTU,AGE1-4,MLE,0.0011
2013,NRU,AGE15-19,FMLE,0.000667
1990,MYS,AGE15-19,MLE,0.006417
2000,CIV,AGE10-14,FMLE,0.016923
2012,TTO,AGE55-59,FMLE,0.04703
2012,YEM,AGE100PLUS,FMLE,1
1990,MLT,AGE50-54,FMLE,0.014364
2012,RUS,AGE25-29,MLE,0.020075
1990,,AGE80-84,FMLE,0.483738
2012,ARG,AGE20-24,FMLE,0.00249
2012,JOR,AGE55-59,MLE,0.053009
2013,SAU,AGE40-44,MLE,0.006032
2013,GMB,AGE55-59,MLE,0.076404
2013,CHN,AGE60-64,MLE,0.073667
1990,LUX,AGE40-44,MLE,0.013965
2013,CHN,AGE95-99,MLE,0.916461
2013,TGO,AGE1-4,MLE,0.034869
1990,SEN,AGE30-34,MLE,0.022
2013,TGO,AGE35-39,MLE,0.03929
2012,DEU,AGE60-64,MLE,0.055327
1990,VUT,AGE10-14,FMLE,0.00576
1990,AGO,AGE35-39,FMLE,0.053709
2012,GMB,AGE85-89,MLE,0.722338
2013,CYP,AGE55-59,MLE,0.024662
2013,HUN,AGE85-89,FMLE,0.495657
2012,NAM,AGE80-84,FMLE,0.409672
1990,BHS,AGE20-24,FMLE,0.00472
2000,PAK,AGE40-44,FMLE,0.018417
2000,BRN,AGE20-24,FMLE,0.002559
2000,MYS,AGE100PLUS,MLE,1
2000,MWI,AGE50-54,MLE,0.127934
2000,QAT,AGE80-84,FMLE,0.341007
2000,AGO,AGE75-79,FMLE,0.409
1990,HUN,AGE85-89,FMLE,0.606
2012,NAM,AGE60-64,MLE,0.096702
1990,NIU,AGE90-94,FMLE,0.788
2012,KIR,AGE25-29,MLE,0.010287
2000,,AGE80-84,BTSX,0.402437
2012,BTN,AGE20-24,FMLE,0.008441
1990,CAF,AGE35-39,FMLE,0.049739
2013,ATG,AGE55-59,MLE,0.068064
2013,DJI,AGE40-44,FMLE,0.035073
2012,CAF,AGE80-84,FMLE,0.534759
2013,HTI,AGE55-59,FMLE,0.057126
2012,FRA,AGE1-4,FMLE,0.000601
2013,BGD,AGE90-94,FMLE,0.661545
1990,KWT,AGE70-74,FMLE,0.205031
2012,FIN,AGE75-79,FMLE,0.115427
2000,NIU,AGE80-84,FMLE,0.434008
2013,CPV,AGE35-39,MLE,0.007929
2000,CZE,AGE85-89,MLE,0.623621
1990,MMR,AGE10-14,FMLE,0.008073
2013,BRN,AGE65-69,FMLE,0.101412
1990,ECU,AGE50-54,MLE,0.045
1990,TJK,AGE20-24,MLE,0.005394
2000,LAO,AGE45-49,MLE,0.043
2012,DEU,AGE1-4,FMLE,0.000601
1990,PER,AGELT1,MLE,0.06071
2012,FRA,AGE60-64,MLE,0.056772
2000,MDG,AGE15-19,MLE,0.014504
1990,TON,AGE25-29,FMLE,0.004
2013,HTI,AGE90-94,FMLE,0.768525
1990,NIU,AGELT1,FMLE,0
1990,WSM,AGE75-79,MLE,0.439579
1990,MYS,AGE70-74,FMLE,0.199604
2013,SGP,AGE15-19,FMLE,0.000764
2000,MDG,AGE50-54,MLE,0.065756
1990,AZE,AGE90-94,FMLE,0.778257
2012,MLT,AGE60-64,FMLE,0.031121
2013,CZE,AGE1-4,FMLE,0.000594
2012,KIR,AGE60-64,MLE,0.114399
2000,ECU,AGE90-94,FMLE,0.597
2000,CPV,AGE10-14,FMLE,0.001625
2000,CPV,AGE45-49,FMLE,0.017259
1990,LUX,AGE15-19,FMLE,0.001076
1990,PAN,AGE35-39,MLE,0.012961
2013,CHN,AGE15-19,MLE,0.002141
2000,LSO,AGE100PLUS,FMLE,1
2013,BHR,AGE95-99,MLE,0.84898
1990,ALB,AGELT1,MLE,0.039805
2012,CIV,AGE30-34,MLE,0.041369
2012,WSM,AGE60-64,FMLE,0.059316
2013,SSD,AGE35-39,MLE,0.046418
1990,CAF,AGE95-99,MLE,0.963761
1990,DOM,AGE50-54,MLE,0.040333
1990,URY,AGE15-19,FMLE,0.002762
1990,ALB,AGE95-99,MLE,0.98
2000,,AGE10-14,BTSX,0.002533
2000,DEU,AGELT1,FMLE,0.003899
2013,IRL,AGE55-59,FMLE,0.017952
2012,DOM,AGE1-4,FMLE,0.003971
2013,QAT,AGE90-94,FMLE,0.577753
2000,TGO,AGE70-74,MLE,0.261338
2000,CAN,AGE50-54,MLE,0.021781
2012,BEL,AGE60-64,FMLE,0.031129
1990,KIR,AGE15-19,MLE,0.012779
2013,MDG,AGE35-39,FMLE,0.021095
2013,PAN,AGE5-9,MLE,0.00187
2012,PAN,AGE55-59,FMLE,0.023438
2012,FRA,AGE25-29,MLE,0.003991
1990,NPL,AGE50-54,FMLE,0.061875
1990,NPL,AGE15-19,FMLE,0.017532
1990,BLZ,AGELT1,FMLE,0.031
2013,CPV,AGE55-59,FMLE,0.024171
2012,LUX,AGE5-9,MLE,0.000259
2012,MYS,AGE80-84,FMLE,0.432514
2012,,AGE20-24,MLE,0.010736
2000,LSO,AGE65-69,FMLE,0.16518
1990,BEL,AGE75-79,MLE,0.312906
2012,BIH,AGE45-49,FMLE,0.008839
1990,IDN,AGE75-79,MLE,0.407565
1990,CHN,AGE80-84,MLE,0.524
2013,ZWE,AGE1-4,MLE,0.036244
1990,ARG,AGE10-14,FMLE,0.001261
2012,CHL,AGE25-29,MLE,0.006029
2000,MUS,AGE80-84,MLE,0.420601
2000,BIH,AGE55-59,MLE,0.068424
1990,EGY,AGE5-9,FMLE,0.00437
2012,MKD,AGE1-4,MLE,0.001024
1990,,AGE80-84,MLE,0.492404
2000,MDV,AGE50-54,FMLE,0.05
2013,BEL,AGE30-34,FMLE,0.002051
2012,HRV,AGELT1,FMLE,0.003706
2012,BRA,AGE55-59,FMLE,0.036308
1990,UZB,AGE50-54,MLE,0.06442
2000,CRI,AGE40-44,MLE,0.013549
2000,NRU,AGELT1,MLE,0.022449
1990,YEM,AGE35-39,MLE,0.027213
2000,EGY,AGE70-74,MLE,0.269696
2012,NPL,AGE60-64,FMLE,0.08246
2000,FSM,AGE15-19,FMLE,0.006134
2013,TUV,AGE65-69,MLE,0.217875
2012,AGO,AGE60-64,MLE,0.131738
2000,SYR,AGE75-79,FMLE,0.2712
2012,MKD,AGE55-59,FMLE,0.029462
2013,STP,AGE40-44,MLE,0.024706
2012,VEN,AGE85-89,FMLE,0.364328
1990,CHN,AGE35-39,FMLE,0.009
2012,HTI,AGE5-9,FMLE,0.013094
2013,DEU,AGE40-44,FMLE,0.004336
2012,LUX,AGE85-89,MLE,0.45562
2013,LKA,AGE85-89,FMLE,0.52204
2000,ZMB,AGELT1,FMLE,0.092401
2013,BEL,AGE90-94,MLE,0.704923
2000,ISL,AGE30-34,MLE,0.004555
2012,LBR,AGE80-84,MLE,0.598595
2012,MLI,AGE45-49,FMLE,0.044174
2013,AFG,AGE25-29,FMLE,0.016011
2012,AUS,AGE35-39,MLE,0.00546
1990,DOM,AGE70-74,FMLE,0.169411
2000,TUN,AGE75-79,MLE,0.285
2012,SDN,AGE60-64,FMLE,0.082818
2000,,AGE70-74,FMLE,0.233645
1990,ITA,AGE45-49,MLE,0.017085
2013,YEM,AGE40-44,MLE,0.027954
2000,HUN,AGE55-59,FMLE,0.04
2000,NGA,AGELT1,MLE,0.1204
2012,SWZ,AGE50-54,MLE,0.075981
2000,UZB,AGE40-44,FMLE,0.014047
1990,,AGE35-39,BTSX,0.01282
2000,NGA,AGE50-54,FMLE,0.075286
2012,SLE,AGE25-29,MLE,0.043872
2013,COM,AGE85-89,FMLE,0.677829
1990,ARG,AGE70-74,MLE,0.223154
2013,CIV,AGE55-59,FMLE,0.084848
2013,LBY,AGE60-64,FMLE,0.045731
2000,IRL,AGE25-29,MLE,0.005906
2013,,AGE55-59,BTSX,0.03988
2000,TGO,AGE80-84,FMLE,0.524224
1990,EGY,AGE75-79,FMLE,0.320823
2000,TUN,AGE85-89,FMLE,0.616
2013,COD,AGE10-14,MLE,0.019414
1990,NAM,AGE35-39,FMLE,0.022233
1990,ETH,AGE10-14,MLE,0.026114
2013,AND,AGE60-64,MLE,0.05436
2000,,AGE45-49,FMLE,0.028178
2000,HTI,AGE70-74,MLE,0.282988
2013,LKA,AGE30-34,MLE,0.010261
2012,VEN,AGE75-79,MLE,0.200684
2012,MOZ,AGELT1,MLE,0.067201
2013,BRB,AGE65-69,FMLE,0.051124
2013,USA,AGE1-4,FMLE,0.000904
1990,GTM,AGE95-99,FMLE,0.755015
2013,BGR,AGE35-39,FMLE,0.005726
2013,LVA,AGE80-84,FMLE,0.333794
1990,MEX,AGE50-54,MLE,0.045499
2000,BLR,AGE1-4,FMLE,0.002621
2012,PRK,AGE10-14,MLE,0.003584
1990,BTN,AGE70-74,MLE,0.263496
1990,FIN,AGE65-69,FMLE,0.069938
2012,MLT,AGE5-9,MLE,0.0005
2000,FSM,AGE75-79,MLE,0.373859
2013,VNM,AGE10-14,FMLE,0.001466
2012,TZA,AGE80-84,MLE,0.530298
2013,GRD,AGE25-29,FMLE,0.003684
2012,SRB,AGE35-39,MLE,0.008179
2000,UZB,AGE100PLUS,MLE,1
1990,BWA,AGE90-94,MLE,0.827239
2013,EST,AGE65-69,FMLE,0.053809
2013,KHM,AGE35-39,FMLE,0.014107
1990,,AGE35-39,BTSX,0.036649
1990,PER,AGE15-19,FMLE,0.005062
2012,GMB,AGE50-54,MLE,0.059746
2000,MRT,AGE75-79,MLE,0.427477
1990,IRN,AGE50-54,MLE,0.054
2000,IRQ,AGE20-24,FMLE,0.003224
2012,HUN,AGE1-4,FMLE,0.000808
2000,VNM,AGE25-29,MLE,0.012313
2000,FIN,AGE85-89,MLE,0.569164
1990,KEN,AGE65-69,MLE,0.159901
2000,CUB,AGE45-49,MLE,0.020892
2012,PAK,AGE25-29,MLE,0.009011
2013,FSM,AGE85-89,MLE,0.691713
1990,UZB,AGE75-79,MLE,0.348
2000,PRK,AGE70-74,FMLE,0.175814
2000,JPN,AGE20-24,FMLE,0.001433
1990,ALB,AGE40-44,MLE,0.011965
1990,BRN,AGELT1,MLE,0.010241
2000,PNG,AGE25-29,MLE,0.019963
2012,,AGE45-49,FMLE,0.012866
1990,TUN,AGE5-9,FMLE,0.004
2013,LBN,AGE1-4,MLE,0.001414
2000,TUN,AGE80-84,FMLE,0.439055
1990,OMN,AGE90-94,MLE,0.820179
2012,ISR,AGE25-29,FMLE,0.000851
2000,UZB,AGE25-29,FMLE,0.007
2013,TJK,AGE55-59,FMLE,0.073357
2000,COK,AGELT1,FMLE,0.013935
2012,AGO,AGE45-49,FMLE,0.053307
2013,PRK,AGE60-64,MLE,0.153175
2000,CHN,AGE5-9,FMLE,0.002
2000,NZL,AGE1-4,MLE,0.001518
1990,CHL,AGE95-99,MLE,0.81965
2012,SVN,AGE55-59,MLE,0.046391
1990,SVN,AGE100PLUS,FMLE,1
1990,HUN,AGE15-19,MLE,0.005
2000,KAZ,AGE40-44,FMLE,0.020213
2013,SVK,AGE90-94,MLE,0.701445
2012,IDN,AGE5-9,MLE,0.00368
2000,AZE,AGE20-24,FMLE,0.004
1990,DNK,AGE40-44,FMLE,0.008839
2013,GEO,AGE25-29,FMLE,0.002468
2000,GHA,AGE25-29,MLE,0.025853
2013,CUB,AGELT1,FMLE,0.003694
2012,PRY,AGE30-34,FMLE,0.004526
2013,TUN,AGE35-39,MLE,0.00882
1990,BRB,AGE15-19,FMLE,0.004161
2012,AFG,AGE20-24,FMLE,0.015181
2012,SMR,AGE85-89,FMLE,0.474634
2000,BGD,AGE1-4,FMLE,0.02635
2012,FJI,AGE5-9,FMLE,0.002097
1990,NER,AGE40-44,FMLE,0.035568
2012,HND,AGE1-4,FMLE,0.003164
2013,MEX,AGE30-34,MLE,0.013994
1990,ISR,AGE40-44,MLE,0.008858
2012,KOR,AGE65-69,MLE,0.078119
2013,VUT,AGE15-19,FMLE,0.002667
1990,TKM,AGE40-44,FMLE,0.016
1990,AZE,AGE10-14,FMLE,0.00213
2012,DNK,AGELT1,MLE,0.0033
2013,PRT,AGE65-69,FMLE,0.035907
2012,DZA,AGE100PLUS,FMLE,1
1990,IDN,AGE15-19,FMLE,0.007841
2000,,AGE30-34,MLE,0.009396
2013,USA,AGE60-64,MLE,0.060789
2000,CYP,AGE20-24,FMLE,0.00304
2000,COK,AGE55-59,MLE,0.047653
1990,MNG,AGE80-84,MLE,0.598298
2012,BDI,AGELT1,MLE,0.0739
2013,PRK,AGE1-4,FMLE,0.005342
2000,SDN,AGE1-4,MLE,0.041122
2013,NLD,AGE40-44,FMLE,0.004415
2013,STP,AGE25-29,FMLE,0.011578
2000,GNB,AGE50-54,MLE,0.070508
2012,SVN,AGELT1,FMLE,0.00234
2000,TKM,AGE15-19,FMLE,0.005628
2012,AUS,AGE90-94,FMLE,0.563939
2000,NRU,AGE50-54,FMLE,0.013405
2012,MNG,AGE90-94,MLE,0.859723
2012,,AGELT1,FMLE,0.04326
1990,DEU,AGE95-99,MLE,0.863686
2012,AUS,AGE20-24,FMLE,0.00127
2000,KOR,AGE45-49,FMLE,0.00886
2013,CUB,AGE55-59,MLE,0.043201
2012,PER,AGE85-89,MLE,0.503624
2013,CYP,AGE10-14,MLE,0.00046
2012,CHL,AGE80-84,FMLE,0.241337
2013,IRQ,AGE90-94,MLE,0.833042
2013,,AGE20-24,MLE,0.006021
1990,ISL,AGE90-94,FMLE,0.611235
2000,VNM,AGE80-84,FMLE,0.26687
2013,MDV,AGE35-39,MLE,0.001982
2013,GEO,AGE40-44,MLE,0.019147
2000,LBY,AGELT1,MLE,0.027094
2013,BIH,AGE40-44,FMLE,0.005522
1990,,AGE90-94,BTSX,0.746805
1990,SEN,AGE40-44,MLE,0.033
2013,BHS,AGE25-29,MLE,0.006542
2000,JAM,AGE75-79,MLE,0.279671
2013,CAN,AGE60-64,MLE,0.043206
2000,NPL,AGE100PLUS,FMLE,1
2012,FIN,AGELT1,FMLE,0.002115
1990,MKD,AGE45-49,FMLE,0.013046
1990,SWE,AGE15-19,MLE,0.003126
1990,LUX,AGE95-99,FMLE,0.805341
2000,BEL,AGE80-84,MLE,0.408697
1990,YEM,AGE35-39,FMLE,0.024
1990,SAU,AGE35-39,MLE,0.010945
2012,TTO,AGE35-39,MLE,0.017484
2013,MNE,AGE60-64,MLE,0.095347
1990,TJK,AGELT1,FMLE,0.073904
2000,HTI,AGE25-29,MLE,0.026377
2000,IRQ,AGE100PLUS,FMLE,1
1990,TTO,AGE90-94,FMLE,0.683727
2000,LVA,AGE85-89,MLE,0.58
2013,DZA,AGE5-9,MLE,0.003008
2012,DOM,AGE25-29,MLE,0.007486
2013,BHR,AGE35-39,FMLE,0.00278
2012,LTU,AGE55-59,FMLE,0.032033
2013,BGD,AGE70-74,MLE,0.233249
2000,BHS,AGE15-19,MLE,0.003253
1990,LBR,AGE70-74,MLE,0.358473
2013,ARE,AGE55-59,MLE,0.032718
2000,YEM,AGELT1,MLE,0.075701
2013,UZB,AGE85-89,FMLE,0.491652
2000,KHM,AGE25-29,FMLE,0.018652
2000,GEO,AGE30-34,MLE,0.012121
2012,AUS,AGE80-84,MLE,0.282757
2013,JAM,AGE60-64,FMLE,0.040618
2012,ROU,AGE75-79,FMLE,0.217734
1990,,AGE40-44,BTSX,0.023751
1990,DZA,AGE90-94,FMLE,0.819819
2000,HTI,AGE80-84,FMLE,0.564685
2000,TON,AGE1-4,MLE,0.003
2012,PER,AGE25-29,FMLE,0.003544
2000,JOR,AGE85-89,MLE,0.679317
2013,IRL,AGE35-39,MLE,0.0056
2013,CHN,AGE35-39,FMLE,0.004302
1990,KIR,AGE95-99,MLE,0.916743
2012,SMR,AGE5-9,FMLE,1.00E-06
1990,LVA,AGE20-24,FMLE,0.002805
1990,MNG,AGE65-69,FMLE,0.16092
2000,IRN,AGE20-24,MLE,0.012
2012,ZWE,AGE75-79,MLE,0.327159
1990,HND,AGE15-19,MLE,0.009501
2012,NER,AGELT1,MLE,0.0674
2000,ROU,AGE85-89,MLE,0.556377
1990,FRA,AGE95-99,MLE,0.831363
2013,NRU,AGE40-44,MLE,0.006626
2013,,AGE15-19,MLE,0.007542
1990,VUT,AGE70-74,MLE,0.276953
2013,TGO,AGE55-59,FMLE,0.06737
2000,FRA,AGE100PLUS,MLE,1
2012,BTN,AGE80-84,MLE,0.3686
2013,NIU,AGE90-94,FMLE,0.73322
2000,SSD,AGE70-74,MLE,0.297068
2000,PRT,AGE100PLUS,FMLE,1
2012,MMR,AGE1-4,MLE,0.012398
1990,LVA,AGE25-29,MLE,0.016
2013,MNE,AGE35-39,FMLE,0.003699
1990,MYS,AGE50-54,MLE,0.049057
2000,USA,AGE25-29,FMLE,0.002638
1990,ISL,AGE70-74,MLE,0.173996
1990,SVN,AGE65-69,FMLE,0.075469
2013,BHR,AGE15-19,MLE,0.003037
2000,GBR,AGE80-84,FMLE,0.292585
2013,BRN,AGE30-34,FMLE,0.002541
2012,CAF,AGE60-64,MLE,0.133264
2013,NIC,AGE35-39,MLE,0.020235
2000,BTN,AGE50-54,FMLE,0.069535
1990,KWT,AGE95-99,MLE,0.823844
2013,ARE,AGE90-94,MLE,0.716879
2013,NIC,AGE90-94,FMLE,0.471169
2000,DJI,AGE55-59,MLE,0.102414
2012,SGP,AGE80-84,MLE,0.298334
2000,DMA,AGE50-54,MLE,0.048119
2000,KNA,AGE90-94,MLE,0.814
2013,JAM,AGE5-9,MLE,0.003943
2012,DMA,AGE20-24,MLE,0.005279
1990,TTO,AGE70-74,MLE,0.297754
2013,CZE,AGE15-19,MLE,0.002532
1990,LUX,AGE75-79,MLE,0.308641
2000,URY,AGE100PLUS,FMLE,1
1990,DJI,AGE15-19,MLE,0.013994
2000,ISL,AGE15-19,FMLE,0.001748
1990,VUT,AGE45-49,FMLE,0.031404
1990,UZB,AGE70-74,FMLE,0.182
2000,LBR,AGE95-99,FMLE,0.918587
1990,BHR,AGE90-94,MLE,0.768508
2013,,AGE75-79,FMLE,0.296934
2000,ALB,AGE75-79,FMLE,0.368
2000,NPL,AGE45-49,MLE,0.041018
2000,,AGE90-94,MLE,0.766686
2012,,AGE45-49,BTSX,0.013879
1990,DZA,AGE70-74,MLE,0.24837
1990,LAO,AGE75-79,MLE,0.441
2013,CYP,AGE90-94,MLE,0.617657
2013,IRL,AGE10-14,FMLE,0.000286
2000,LTU,AGE30-34,MLE,0.019071
2000,,AGE65-69,FMLE,0.101703
2012,,AGELT1,FMLE,0.039997
1990,KIR,AGE70-74,FMLE,0.23761
2013,,AGE50-54,FMLE,0.017039
1990,GIN,AGE45-49,FMLE,0.04534
1990,TUN,AGE65-69,MLE,0.134201
2013,,AGE20-24,MLE,0.006101
2012,BWA,AGE100PLUS,MLE,1
1990,FRA,AGE50-54,MLE,0.036699
1990,MLT,AGE15-19,FMLE,0.000396
2000,MDV,AGE60-64,FMLE,0.125
2000,MNE,AGE25-29,FMLE,0.002153
2012,LTU,AGE80-84,MLE,0.411016
2000,LVA,AGE85-89,FMLE,0.521
2012,ATG,AGE60-64,FMLE,0.053433
2013,MDG,AGE1-4,FMLE,0.016501
2000,BRB,AGE45-49,MLE,0.026646
2012,MYS,AGE25-29,MLE,0.007475
2013,PAN,AGE40-44,MLE,0.016522
2000,CAN,AGE25-29,FMLE,0.001722
2012,NIU,AGE5-9,FMLE,0.001377
2012,PER,AGE5-9,MLE,0.001518
2013,BHR,AGE60-64,MLE,0.049352
1990,CAF,AGE70-74,FMLE,0.278089
2013,KHM,AGE95-99,MLE,0.581792
2012,TUN,AGE75-79,MLE,0.25657
1990,LTU,AGE90-94,FMLE,0.680111
2000,PNG,AGE80-84,FMLE,0.500734
2000,TZA,AGE50-54,FMLE,0.06698
1990,BTN,AGE10-14,FMLE,0.017298
1990,HTI,AGE20-24,MLE,0.023701
2013,ISL,AGE5-9,MLE,0.000251
2013,NIU,AGE70-74,MLE,0.237091
2000,BGD,AGE45-49,FMLE,0.026325
2000,URY,AGE75-79,MLE,0.295
1990,ARG,AGE35-39,MLE,0.012143
1990,DMA,AGE65-69,FMLE,0.086722
1990,CPV,AGE85-89,FMLE,0.66198
2000,PAK,AGE100PLUS,MLE,1
2000,MLT,AGE100PLUS,FMLE,1
2000,CPV,AGE80-84,FMLE,0.452908
2012,MMR,AGE90-94,FMLE,0.801597
2012,GIN,AGE100PLUS,FMLE,1
2012,NAM,AGE25-29,MLE,0.016496
2013,IRL,AGE70-74,MLE,0.120231
1990,LUX,AGE50-54,FMLE,0.019901
2012,MMR,AGE55-59,FMLE,0.057547
2013,BRB,AGE55-59,MLE,0.036951
1990,,AGE100PLUS,MLE,1
2013,BRB,AGE90-94,MLE,0.639731
1990,RUS,AGELT1,MLE,0.025
2013,CZE,AGE60-64,MLE,0.081558
2012,KHM,AGE75-79,FMLE,0.148953
2013,HTI,AGE1-4,MLE,0.020153
1990,KWT,AGE15-19,MLE,0.007197
2000,BGD,AGE80-84,FMLE,0.472639
2000,PAN,AGE50-54,FMLE,0.018218
2012,KWT,AGE60-64,MLE,0.038972
2013,CHN,AGE1-4,FMLE,0.001814
1990,SGP,AGE10-14,FMLE,0.001046
2013,BTN,AGE5-9,MLE,0.008798
2000,CZE,AGE15-19,MLE,0.003433
2012,SSD,AGE5-9,FMLE,0.024819
2013,BEL,AGE55-59,MLE,0.036863
2000,ISL,AGELT1,MLE,0.003486
2013,,AGE90-94,FMLE,0.65059
2000,CAF,AGE100PLUS,MLE,1
2012,VUT,AGE80-84,MLE,0.512965
2013,ATG,AGELT1,FMLE,0.007982
2012,DMA,AGE75-79,FMLE,0.23771
2012,NIU,AGE65-69,MLE,0.154557
1990,GIN,AGE90-94,FMLE,0.849581
2012,ARG,AGE100PLUS,FMLE,1
1990,KIR,AGE50-54,MLE,0.067241
2000,TZA,AGELT1,MLE,0.084399
2012,GBR,AGE5-9,FMLE,0.000406
1990,LUX,AGELT1,MLE,0.007799
1990,DOM,AGE15-19,MLE,0.005637
2000,IRL,AGE80-84,FMLE,0.328858
1990,VUT,AGE90-94,FMLE,0.80401
1990,MWI,AGE90-94,MLE,0.962858
2013,HTI,AGE35-39,MLE,0.028381
2013,,AGELT1,FMLE,0.0141
2013,MLT,AGE55-59,MLE,0.028431
2013,MYS,AGE85-89,FMLE,0.605872
2012,GMB,AGE5-9,MLE,0.021386
2000,SGP,AGE30-34,MLE,0.004083
2012,CAF,AGE45-49,FMLE,0.078521
2000,SLE,AGE100PLUS,MLE,1
2012,MMR,AGE80-84,MLE,0.547425
2000,AZE,AGE15-19,MLE,0.005
2000,,AGE100PLUS,MLE,1
2012,URY,AGE60-64,FMLE,0.045492
1990,,AGE5-9,MLE,0.010352
2012,URY,AGE25-29,FMLE,0.002614
2013,TZA,AGE5-9,MLE,0.017172
1990,NIU,AGE20-24,MLE,0.011213
2012,MNE,AGE10-14,MLE,0.001098
1990,,AGE25-29,BTSX,0.013541
2000,MDG,AGE25-29,FMLE,0.018172
