underonemort,year,code,onetofourmort,fivetoninemort,tentofourteenmort
69,NA,2012,CRI,0.00128500000573695,NA,NA
70,0.0119040003046393,1990,CUB,NA,NA,NA
71,NA,2000,CUB,0.00211400003172457,NA,NA
72,NA,2013,CUB,NA,NA,0.0011670000385493
73,0.0109449997544289,1990,CYP,NA,NA,NA
74,NA,2000,CYP,0.000977999996393919,NA,0.00105199997778982
75,NA,2013,CYP,NA,NA,0.000460000010207295
76,NA,1990,CZE,NA,NA,0.00126100005581975
77,NA,1990,DMA,NA,NA,0.00358600006438792
78,0.00329999998211861,2012,DNK,NA,NA,NA
79,NA,1990,DZA,0.00869399961084127,NA,NA
80,0.0330009981989861,2000,DZA,NA,NA,NA
81,NA,2012,DZA,0.00328500010073185,NA,NA
82,NA,2000,ECU,0.00661000004038215,NA,NA
83,0.0224009994417429,2012,ECU,NA,NA,NA
84,NA,2013,ECU,0.0036740000359714,NA,0.00279700011014938
85,NA,2000,EGY,0.00934999994933605,NA,NA
86,0.0186999998986721,2012,EGY,NA,NA,NA
87,NA,2013,EGY,0.00318300002254546,NA,NA
88,NA,2000,ERI,0.0366390012204647,NA,NA
89,NA,2013,ERI,NA,NA,0.00575000001117587
90,0.00590300001204014,2000,ESP,NA,NA,NA
91,NA,2012,ESP,0.000702999997884035,NA,NA
92,NA,2000,EST,0.00224600010551512,NA,NA
93,NA,2013,EST,NA,NA,0.00199900008738041
94,NA,1990,ETH,NA,NA,0.0261140000075102
95,NA,1990,FIN,NA,NA,0.00129299995023757
96,0.0212730001658201,2012,FJI,NA,NA,NA
97,NA,2012,FSM,0.00823100004345179,NA,NA
98,0.0461959987878799,2013,GAB,NA,NA,NA
99,NA,2013,GBR,0.000819000008050352,NA,NA
100,0.0336170010268688,2000,GEO,NA,NA,NA
101,NA,2012,GEO,0.00253800000064075,NA,NA
102,0.0729999989271164,2000,GHA,NA,NA,NA
103,0.0534989982843399,2012,GHA,NA,0.0170230008661747,NA
104,NA,2013,GHA,0.0240860003978014,NA,NA
105,NA,1990,GIN,0.11311399936676,NA,NA
106,0.11090400069952,2000,GIN,NA,NA,NA
107,NA,2012,GIN,0.0381599999964237,NA,0.0133220003917813
108,NA,2000,GMB,0.0575099997222424,NA,NA
109,NA,1990,GNB,NA,NA,0.0135289998725057
110,0.0758339986205101,2013,GNQ,NA,NA,NA
111,0.0121919997036457,1990,GRC,NA,NA,NA
112,NA,2000,GRC,0.00101600005291402,NA,NA
113,NA,2013,GRC,NA,NA,0.000544000009540468
114,0.0140420002862811,2000,GRD,NA,NA,NA
115,NA,2000,GTM,0.0113939996808767,NA,NA
116,NA,2013,GTM,NA,NA,0.00329499994404614
117,NA,1990,GUY,NA,NA,0.00429600011557341
118,0.0209960006177425,2013,HND,NA,NA,NA
119,NA,1990,HRV,NA,NA,0.00149399996735156
120,0.0617979988455772,2012,HTI,NA,NA,NA
121,NA,2013,HTI,0.0201529990881681,NA,NA
122,0.00559799978509545,2013,HUN,NA,NA,NA
123,0.068000003695488,1990,IDN,NA,0.00809899996966124,NA
124,NA,2000,IDN,0.0122560001909733,NA,NA
125,NA,2013,IDN,NA,NA,0.00296800001524389
126,NA,2012,IND,NA,NA,0.0043669999577105
127,0.00369899999350309,2012,IRL,NA,NA,NA
128,NA,2013,IRL,0.000728000013623387,NA,NA
129,NA,2000,IRN,NA,NA,0.00300000002607703
130,NA,2012,IRN,0.00257700006477535,NA,NA
131,0.0390000008046627,2000,IRQ,0.0099889999255538,0.00300000002607703,0.00253699999302626
132,0.0390000008046627,2000,IRQ,0.00999999977648258,0.00300000002607703,0.00253699999302626
133,NA,2013,IRQ,NA,NA,0.00356599991209805
134,NA,1990,ISL,0.00181899999734014,NA,NA
135,0.00348600000143051,2000,ISL,NA,NA,NA
136,NA,2012,ISL,NA,NA,0
137,0.010308999568224,1990,ISR,NA,0.00095999997574836,NA
138,NA,2000,ISR,0.00132100004702806,NA,NA
139,NA,1990,ITA,NA,NA,0.00120399997103959
140,NA,2012,ITA,NA,NA,0.000620000006165355
141,NA,1990,JAM,0.00575699983164668,NA,NA
142,0.0223999992012978,2000,JAM,NA,NA,NA
143,NA,2012,JAM,0.00290299998596311,NA,0.00286099989898503
144,NA,1990,JOR,NA,NA,0.00287299999035895
145,NA,2000,JOR,NA,NA,0.0020000000949949
146,NA,2000,JPN,0.00130500004161149,NA,0.000739999988581985
147,NA,2013,JPN,NA,NA,0.000675000017508864
148,0.0178970005363226,2013,KAZ,NA,NA,NA
149,0.0529000014066696,2012,KEN,NA,0.0190890002995729,NA
