GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_200,CH4,PUBLISHED,2004,EMR,AFG,YEARS0-4,BTSX,,1.4,1.3927,,,
MORT_200,CH4,PUBLISHED,2013,EMR,AFG,MONTHS1-59,BTSX,,1.1,1.14647,,,
MORT_300,CH4,PUBLISHED,2008,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13608,,,
MORT_300,CH4,PUBLISHED,2007,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.69747,,,
MORT_200,CH4,PUBLISHED,2003,EMR,AFG,MONTHS1-59,BTSX,,1.4,1.38981,,,
MORT_100,CH4,PUBLISHED,2001,EMR,AFG,YEARS0-4,BTSX,,1549,1549.081,,,
MORT_200,CH4,PUBLISHED,2006,EMR,AFG,MONTHS1-59,BTSX,,1.3,1.26075,,,
MORT_100,CH4,PUBLISHED,2008,EMR,AFG,DAYS0-27,BTSX,,58,58,,,
MORT_300,CH4,PUBLISHED,2006,EMR,AFG,MONTHS1-59,BTSX,,1.7,1.66577,,,
MORT_300,CH4,PUBLISHED,2000,EMR,AFG,MONTHS1-59,BTSX,,1.6,1.6362,,,
MORT_100,CH4,PUBLISHED,2004,EMR,AFG,MONTHS1-59,BTSX,,1440,1440.276,,,
MORT_300,CH4,PUBLISHED,2013,EMR,AFG,MONTHS1-59,BTSX,,1.8,1.83408,,,
MORT_200,CH4,PUBLISHED,2008,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.20061,,,
MORT_100,CH4,PUBLISHED,2001,EMR,AFG,MONTHS1-59,BTSX,,1486,1486.081,,,
MORT_100,CH4,PUBLISHED,2000,EMR,AFG,MONTHS1-59,BTSX,,1504,1503.523,,,
MORT_200,CH4,PUBLISHED,2003,EMR,AFG,YEARS0-4,BTSX,,1.4,1.4488,,,
MORT_100,CH4,PUBLISHED,2008,EMR,AFG,MONTHS1-59,BTSX,,1309,1308.752,,,
MORT_200,CH4,PUBLISHED,2013,EMR,AFG,YEARS0-4,BTSX,,1.2,1.19865,,,
MORT_300,CH4,PUBLISHED,2006,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13446,,,
MORT_300,CH4,PUBLISHED,2010,EMR,AFG,YEARS0-4,BTSX,,1.2,1.16332,,,
MORT_100,CH4,PUBLISHED,2011,EMR,AFG,MONTHS1-59,BTSX,,1232,1231.968,,,
MORT_200,CH4,PUBLISHED,2000,EMR,AFG,MONTHS1-59,BTSX,,1.5,1.47257,,,
MORT_200,CH4,PUBLISHED,2001,EMR,AFG,DAYS0-27,BTSX,,0.1,0.06076,,,
MORT_300,CH4,PUBLISHED,2002,EMR,AFG,DAYS0-27,BTSX,,0.1,0.1391,,,
MORT_200,CH4,PUBLISHED,2011,EMR,AFG,DAYS0-27,BTSX,,0.1,0.053,,,
MORT_200,CH4,PUBLISHED,2005,EMR,AFG,MONTHS1-59,BTSX,,1.3,1.28053,,,
MORT_300,CH4,PUBLISHED,2010,EMR,AFG,DAYS0-27,BTSX,,0.1,0.13915,,,
MORT_100,CH4,PUBLISHED,2007,EMR,AFG,DAYS0-27,BTSX,,58,58,,,
MORT_100,CH4,PUBLISHED,2013,EMR,AFG,MONTHS1-59,BTSX,,1162,1161.52,,,
MORT_200,CH4,PUBLISHED,2002,EMR,AFG,YEARS0-4,BTSX,,1.5,1.47148,,,
MORT_100,CH4,PUBLISHED,2001,EMR,AFG,DAYS0-27,BTSX,,63,63,,,
MORT_100,CH4,PUBLISHED,2012,EMR,AFG,DAYS0-27,BTSX,,54,54,,,
MORT_200,CH4,PUBLISHED,2011,EMR,AFG,MONTHS1-59,BTSX,,1.2,1.16587,,,
MORT_200,CH4,PUBLISHED,2005,EMR,AFG,YEARS0-4,BTSX,,1.3,1.33503,,,
MORT_300,CH4,PUBLISHED,2013,EMR,AFG,YEARS0-4,BTSX,,1.2,1.21309,,,
MORT_300,CH4,PUBLISHED,2007,EMR,AFG,YEARS0-4,BTSX,,1.1,1.1422,,,
MORT_100,CH4,PUBLISHED,2004,EMR,AFG,YEARS0-4,BTSX,,1501,1501.276,,,
MORT_300,CH4,PUBLISHED,2000,EMR,AFG,YEARS0-4,BTSX,,1.1,1.14401,,,
MORT_100,CH4,PUBLISHED,2003,AFR,AGO,DAYS0-27,BTSX,,42,42,,,
MORT_300,CH4,PUBLISHED,2005,AFR,AGO,DAYS0-27,BTSX,,0.1,0.10941,,,
MORT_100,CH4,PUBLISHED,2005,AFR,AGO,MONTHS1-59,BTSX,,969,969,,,
MORT_100,CH4,PUBLISHED,2011,AFR,AGO,MONTHS1-59,BTSX,,868,868,,,
MORT_200,CH4,PUBLISHED,2000,AFR,AGO,DAYS0-27,BTSX,,0.1,0.06108,,,
MORT_200,CH4,PUBLISHED,2004,AFR,AGO,DAYS0-27,BTSX,,0.1,0.05589,,,
MORT_200,CH4,PUBLISHED,2008,AFR,AGO,YEARS0-4,BTSX,,1.1,1.08248,,,
MORT_100,CH4,PUBLISHED,2013,AFR,AGO,DAYS0-27,BTSX,,42,42.20732,,,
MORT_100,CH4,PUBLISHED,2001,AFR,AGO,YEARS0-4,BTSX,,918,918,,,
MORT_200,CH4,PUBLISHED,2001,AFR,AGO,DAYS0-27,BTSX,,0.1,0.05783,,,
MORT_300,CH4,PUBLISHED,2003,AFR,AGO,YEARS0-4,BTSX,,0.6,0.62558,,,
MORT_100,CH4,PUBLISHED,2004,AFR,AGO,MONTHS1-59,BTSX,,933,933,,,
MORT_300,CH4,PUBLISHED,2001,AFR,AGO,MONTHS1-59,BTSX,,0.8,0.78129,,,
MORT_100,CH4,PUBLISHED,2009,AFR,AGO,DAYS0-27,BTSX,,44,44,,,
MORT_200,CH4,PUBLISHED,2002,AFR,AGO,DAYS0-27,BTSX,,0.1,0.05587,,,
MORT_100,CH4,PUBLISHED,2007,AFR,AGO,YEARS0-4,BTSX,,943,943,,,
MORT_200,CH4,PUBLISHED,2007,AFR,AGO,YEARS0-4,BTSX,,1.1,1.11955,,,
MORT_300,CH4,PUBLISHED,2013,AFR,AGO,MONTHS1-59,BTSX,,0.8,0.77152,,,
MORT_200,CH4,PUBLISHED,2003,AFR,AGO,DAYS0-27,BTSX,,0.1,0.05657,,,
MORT_100,CH4,PUBLISHED,2008,AFR,AGO,DAYS0-27,BTSX,,41,41,,,
MORT_200,CH4,PUBLISHED,2011,AFR,AGO,YEARS0-4,BTSX,,1,1.00636,,,
MORT_100,CH4,PUBLISHED,2000,AFR,AGO,YEARS0-4,BTSX,,931,931,,,
