year,region,code,AGEGROUP,SEX,Display Value,Numeric
2006,AMR,BRA,DAYS0-27,BTSX,0,0.00308
2009,AMR,BRB,DAYS0-27,BTSX,0,0
2008,AMR,BRB,DAYS0-27,BTSX,0,0
2003,AMR,BRB,DAYS0-27,BTSX,0,0
2001,AMR,BRB,DAYS0-27,BTSX,0,0
2002,AMR,BRB,DAYS0-27,BTSX,0,0
2007,AMR,BRB,DAYS0-27,BTSX,0,0
2013,AMR,BRB,DAYS0-27,BTSX,0,0
2005,AMR,BRB,DAYS0-27,BTSX,0,0
2000,AMR,BRB,DAYS0-27,BTSX,0,0
2012,AMR,BRB,DAYS0-27,BTSX,0,0
2006,AMR,BRB,DAYS0-27,BTSX,0,0
2011,AMR,BRB,DAYS0-27,BTSX,0,0
2010,AMR,BRB,DAYS0-27,BTSX,0,0
2004,AMR,BRB,DAYS0-27,BTSX,0,0
2001,WPR,BRN,DAYS0-27,BTSX,0,0
2007,WPR,BRN,DAYS0-27,BTSX,0,0
2013,WPR,BRN,DAYS0-27,BTSX,0,0
2006,WPR,BRN,DAYS0-27,BTSX,0,0
2000,WPR,BRN,DAYS0-27,BTSX,0,0
2011,WPR,BRN,DAYS0-27,BTSX,0,0
2012,WPR,BRN,DAYS0-27,BTSX,0,0
2010,WPR,BRN,DAYS0-27,BTSX,0,0
2005,WPR,BRN,DAYS0-27,BTSX,0,0
2003,WPR,BRN,DAYS0-27,BTSX,0,0
2002,WPR,BRN,DAYS0-27,BTSX,0,0
2004,WPR,BRN,DAYS0-27,BTSX,0,0
2009,WPR,BRN,DAYS0-27,BTSX,0,0
2008,WPR,BRN,DAYS0-27,BTSX,0,0
2004,SEAR,BTN,DAYS0-27,BTSX,0,0
2011,SEAR,BTN,DAYS0-27,BTSX,0,0
2005,SEAR,BTN,DAYS0-27,BTSX,0,0
2010,SEAR,BTN,DAYS0-27,BTSX,0,0
2009,SEAR,BTN,DAYS0-27,BTSX,0,0
2008,SEAR,BTN,DAYS0-27,BTSX,0,0
