year,region,code,agegroup,Display Value,Numeric,Low,High,Comments
2008,AMR,CAN,MONTHS1-59,0,0,,,
2009,AFR,DZA,MONTHS1-59,0,0.00866,,,
2000,SEAR,IDN,MONTHS1-59,0.1,0.0534,,,
2007,SEAR,TLS,MONTHS1-59,0.1,0.05786,,,
2009,AFR,COG,MONTHS1-59,0,0.01699,,,
2010,AFR,NER,MONTHS1-59,0,0.01696,,,
2000,EUR,MKD,MONTHS1-59,0,0,,,
2010,AMR,SUR,MONTHS1-59,0,0,,,
2012,EUR,BLR,MONTHS1-59,0,0,,,
2000,EMR,SAU,MONTHS1-59,0,0.00315,,,
2009,,,MONTHS1-59,0,0.01417,,,
2012,,,MONTHS1-59,0,0.00725,,,
2006,,,MONTHS1-59,0,0,,,
2003,,,MONTHS1-59,0,0.03055,,,
2007,EUR,POL,MONTHS1-59,0,0,,,
2001,WPR,SGP,MONTHS1-59,0,0,,,
2006,EMR,EGY,MONTHS1-59,0,0.00559,,,
2006,WPR,PHL,MONTHS1-59,0,0.02149,,,
2011,,,MONTHS1-59,0,0.01302,,,
2006,EUR,ALB,MONTHS1-59,0,0,,,
2004,,,MONTHS1-59,0,0,,,
2001,AMR,CRI,MONTHS1-59,0,0,,,
2007,EUR,EST,MONTHS1-59,0,0,,,
